row,Finding ID,Tier,Publication Date,Institution,Report ID
266,HAL-2026-06-AUT5,B,2026-06-23,Princeton Holistic Agent Leaderboard (HAL),HAL-2026-06
267,HAL-2026-06-AUT6,B,2026-06-23,Princeton Holistic Agent Leaderboard (HAL),HAL-2026-06
268,HAL-2026-06-AUT7,B,2026-06-23,Princeton Holistic Agent Leaderboard (HAL),HAL-2026-06
269,DREADNODE-2026-06-AUT1,B,2026-06-16,Dreadnode,DREADNODE-2026-06
270,SGAISI-2026-06-ALI1,B,2026-06-15,Singapore AI Safety Institute (SGAISI) / Korea AI Safety Institute (KR AISI),SGAISI-2026-06-DATALEAKAGEAGENTS
271,SGAISI-2026-06-ALI2,B,2026-06-15,Singapore AI Safety Institute (SGAISI) / Korea AI Safety Institute (KR AISI),SGAISI-2026-06-DATALEAKAGEAGENTS
272,SECUREBIO-2026-06-BIO1,B,2026-06-12,SecureBio,SECUREBIO-2026-06-TRENDS
273,SECUREBIO-2026-06b-BIO1,B,2026-06-10,SecureBio,SECUREBIO-2026-06b-ABCBENCH
274,SECUREBIO-2026-06b-BIO4,B,2026-06-10,SecureBio,SECUREBIO-2026-06b-ABCBENCH
275,SCALEAI-2026-06-BIO4,B,2026-06-04,Scale AI,SCALEAI-2026-06
276,SCALEAI-2026-06-BIO5,B,2026-06-04,Scale AI,SCALEAI-2026-06
277,SCALEAI-2026-06-BIO6,B,2026-06-04,Scale AI,SCALEAI-2026-06
278,UKAISI-2026-06-ALI7,B,2026-06-02,UK AISI,UKAISI-2026-06-CONSIST
279,UKAISI-2026-06-ALI1,B,2026-05-29,UK AISI,UKAISI-2026-06
280,UKAISI-2026-06-ALI2,B,2026-05-29,UK AISI,UKAISI-2026-06
281,UKAISI-2026-06-ALI4,B,2026-05-29,UK AISI,UKAISI-2026-06
282,UKAISI-2026-06-HUM1,B,2026-05-29,UK AISI,UKAISI-2026-06
283,UKAISI-2026-05-ALI5,B,2026-05-28,UK AISI,ANTHROPIC-2026-05-SELF
284,UKAISI-2026-05-CYB5,B,2026-05-28,RAND,RAND-2026-05
285,CAIS-2026-05-HUM2,B,2026-05-21,Center for AI Safety (CAIS),CAIS-2026-05
286,CAIS-2026-05-HUM3,B,2026-05-21,Center for AI Safety (CAIS),CAIS-2026-05
287,CAIS-2026-05-HUM4,B,2026-05-21,Center for AI Safety (CAIS),CAIS-2026-05
288,CAIS-2026-05-HUM5,B,2026-05-21,Center for AI Safety (CAIS),CAIS-2026-05
289,CAIS-2026-05-HUM6,B,2026-05-21,Center for AI Safety (CAIS),CAIS-2026-05
290,CAIS-2026-05-HUM7,B,2026-05-21,Center for AI Safety (CAIS),CAIS-2026-05
291,CAIS-2026-05-SOC1,B,2026-05-21,Center for AI Safety (CAIS),CAIS-2026-05
292,FRANCE-2026-05-GOV1,B,2026-05-21,France PEReN/INESIA,FRANCE-2026-05
293,SCALEAI-2026-05ad-JAI3,B,2026-05-17,Scale AI,SCALEAI-2026-05ad
294,UKAISI-2026-05-CYB1,B,2026-05-13,UK AISI,UKAISI-2026-05
295,SCALEAI-2026-05ac-AUT1,B,2026-05-12,Scale AI,SCALEAI-2026-05ac
296,METR-2026-05-SOC1,B,2026-05-11,METR,METR-2026-05b
297,HAL-2026-05-AUT2,B,2026-05-08,Princeton Holistic Agent Leaderboard (HAL),HAL-2026-05
298,SCALEAI-2026-05-AUT1,B,2026-05-07,Scale AI,SCALEAI-2026-05
299,SCALEAI-2026-05-AUT2,B,2026-05-07,Scale AI,SCALEAI-2026-05
300,SCALEAI-2026-05aa-AUT1,B,2026-05-07,Scale AI,SCALEAI-2026-05aa
301,SCALEAI-2026-05ab-AUT1,B,2026-05-07,Scale AI,SCALEAI-2026-05ab
302,SCALEAI-2026-05ae-AUT1,B,2026-05-07,Scale AI,SCALEAI-2026-05ae
303,SCALEAI-2026-05ae-AUT2,B,2026-05-07,Scale AI,SCALEAI-2026-05ae
304,SCALEAI-2026-05r-AUT1,B,2026-05-07,Scale AI,SCALEAI-2026-05r
305,SCALEAI-2026-05r-AUT2,B,2026-05-07,Scale AI,SCALEAI-2026-05r
306,SCALEAI-2026-05s-AUT1,B,2026-05-07,Scale AI,SCALEAI-2026-05s
307,SCALEAI-2026-05s-AUT3,B,2026-05-07,Scale AI,SCALEAI-2026-05s
308,SCALEAI-2026-05s-AUT4,B,2026-05-07,Scale AI,SCALEAI-2026-05s
309,SCALEAI-2026-05t-AUT1,B,2026-05-07,Scale AI,SCALEAI-2026-05t
310,SCALEAI-2026-05t-AUT2,B,2026-05-07,Scale AI,SCALEAI-2026-05t
311,SCALEAI-2026-05u-AUT1,B,2026-05-07,Scale AI,SCALEAI-2026-05u
312,SCALEAI-2026-05v-AUT1,B,2026-05-07,Scale AI,SCALEAI-2026-05v
313,SCALEAI-2026-05w-SOC1,B,2026-05-07,Scale AI,SCALEAI-2026-05w
314,SCALEAI-2026-05x-SOC1,B,2026-05-07,Scale AI,SCALEAI-2026-05x
315,SCALEAI-2026-05y-SOC1,B,2026-05-07,Scale AI,SCALEAI-2026-05y
316,SCALEAI-2026-05y-SOC2,B,2026-05-07,Scale AI,SCALEAI-2026-05y
317,SCALEAI-2026-05z-SOC1,B,2026-05-07,Scale AI,SCALEAI-2026-05z
318,SCALEAI-2026-05z-SOC2,B,2026-05-07,Scale AI,SCALEAI-2026-05z
319,DREADNODE-2026-05-JAI1,B,2026-05-06,Dreadnode,DREADNODE-2026-05-REDEAIRED
320,SCALEAI-2026-05a-AUT1,B,2026-05-05,Scale AI,SCALEAI-2026-05a
321,SCALEAI-2026-05b-AUT1,B,2026-05-05,Scale AI,SCALEAI-2026-05b
322,SCALEAI-2026-05c-ALI1,B,2026-05-05,Scale AI,SCALEAI-2026-05c
323,SCALEAI-2026-05c-AUT1,B,2026-05-05,Scale AI,SCALEAI-2026-05c
324,SCALEAI-2026-05d-SOC1,B,2026-05-05,Scale AI,SCALEAI-2026-05d
325,SCALEAI-2026-05d-SOC2,B,2026-05-05,Scale AI,SCALEAI-2026-05d
326,SCALEAI-2026-05e-ALI1,B,2026-05-05,Scale AI,SCALEAI-2026-05e
327,SCALEAI-2026-05f-SOC1,B,2026-05-05,Scale AI,SCALEAI-2026-05f
328,SCALEAI-2026-05g-ALI1,B,2026-05-05,Scale AI,SCALEAI-2026-05g
329,SCALEAI-2026-05h-SOC1,B,2026-05-05,Scale AI,SCALEAI-2026-05h
330,SCALEAI-2026-05i-SOC1,B,2026-05-05,Scale AI,SCALEAI-2026-05i
331,SCALEAI-2026-05j-AUT1,B,2026-05-05,Scale AI,SCALEAI-2026-05j
332,SCALEAI-2026-05k-AUT1,B,2026-05-05,Scale AI,SCALEAI-2026-05k
333,SCALEAI-2026-05l-SOC1,B,2026-05-05,Scale AI,SCALEAI-2026-05l
334,SCALEAI-2026-05m-SOC1,B,2026-05-05,Scale AI,SCALEAI-2026-05m
335,SCALEAI-2026-05n-AUT1,B,2026-05-05,Scale AI,SCALEAI-2026-05n
336,SCALEAI-2026-05o-SOC1,B,2026-05-05,Scale AI,SCALEAI-2026-05o
337,SCALEAI-2026-05q-SOC1,B,2026-05-05,Scale AI,SCALEAI-2026-05q
338,USCAISI-2026-05-CYB1,B,2026-05-01,US CAISI,USCAISI-2026-05-DEEPSEEKV4
339,USCAISI-2026-05-CYB3,B,2026-05-01,US CAISI,USCAISI-2026-05-DEEPSEEKV4
340,USCAISI-2026-05-GOV1,B,2026-05-01,US CAISI,USCAISI-2026-05-DEEPSEEKV4
341,USCAISI-2026-05-GOV2,B,2026-05-01,US CAISI,USCAISI-2026-05-DEEPSEEKV4
342,REDWOOD-2026-04b-ALI2,B,2026-04-29,Redwood Research,REDWOOD-2026-04b
343,REDWOOD-2026-04b-ALI4,B,2026-04-29,Redwood Research,REDWOOD-2026-04b
344,CAIS-2026-04-ALI2,B,2026-04-28,Center for AI Safety (CAIS),CAIS-2026-04
345,CAIS-2026-04-ALI3,B,2026-04-28,Center for AI Safety (CAIS),CAIS-2026-04
346,CAIS-2026-04-ALI4,B,2026-04-28,Center for AI Safety (CAIS),CAIS-2026-04
347,AVERI-2026-04-GOV1,B,2026-04-27,AI Verification and Evaluation Research Institute (AVERI),AVERI-2026-04
348,UKAISI-2026-04-ALI5,B,2026-04-27,UK AISI,UKAISI-2026-04b
349,UKAISI-2026-04-ALI9,B,2026-04-24,UK AISI,UKAISI-2026-04c
350,UKAISI-2026-04-ALI10,B,2026-04-24,UK AISI,UKAISI-2026-04c
351,UKAISI-2026-04-ALI11,B,2026-04-24,UK AISI,UKAISI-2026-04c
352,OPENAI-2026-04-SELF-ALI1,B,2026-04-23,Apollo Research,OPENAI-2026-04-SELF-GPT55
353,OPENAI-2026-04-SELF-ALI2,B,2026-04-23,Apollo Research,OPENAI-2026-04-SELF-GPT55
354,OPENAI-2026-04-SELF-BIO1,B,2026-04-23,UK AISI,OPENAI-2026-04-SELF-GPT55
355,OPENAI-2026-04-SELF-CYB3,B,2026-04-23,UK AISI,OPENAI-2026-04-SELF-GPT55
356,SECUREBIO-2026-04-BIO6,B,2026-04-23,SecureBio,SECUREBIO-2026-04
357,METR-2026-04-AUT2,B,2026-04-21,METR,METR-2026-04n
358,METR-2026-04-AUT3,B,2026-04-21,METR,METR-2026-04n
359,UKAISI-2026-04-ALI7,B,2026-04-20,UK AISI,UKAISI-2026-04d
360,UKAISI-2026-04-ALI15,B,2026-04-20,UK AISI,UKAISI-2026-04d
361,UKAISI-2026-04-ALI16,B,2026-04-20,UK AISI,UKAISI-2026-04d
362,UKAISI-2026-04-ALI17,B,2026-04-20,UK AISI,UKAISI-2026-04d
363,UKAISI-2026-04-AUT1,B,2026-04-20,UK AISI,UKAISI-2026-04d
364,UKAISI-2026-04-CYB12,B,2026-04-16,UK AISI,ANTHROPIC-2026-04-SELF
365,CRUX-2026-04-AUT1,B,2026-04-16,Princeton CRUX,CRUX-2026-04
366,CRUX-2026-04-AUT2,B,2026-04-16,Princeton CRUX,CRUX-2026-04
367,SCALEAI-2026-04-AUT6,B,2026-04-16,Scale AI,SCALEAI-2026-04
368,SCALEAI-2026-04-AUT1,B,2026-04-13,Scale AI,SCALEAI-2026-04-HILBENCH
369,SCALEAI-2026-04-AUT2,B,2026-04-13,Scale AI,SCALEAI-2026-04-HILBENCH
370,SCALEAI-2026-04-AUT5,B,2026-04-13,Scale AI,SCALEAI-2026-04-HILBENCH
371,UKAISI-2026-04e-ALI1,B,2026-04-10,UK AISI,UKAISI-2026-04-ALI10
372,ANTHROPIC-2026-04-MYTHOS-ALI1,B,2026-04-07,Andon Labs,ANTHROPIC-2026-04-MYTHOS
373,UKAISI-2026-03-AUT1,B,2026-03-26,UK AISI,UKAISI-2026-03-MCP177K
374,JOINT-2026-03-JAI1,B,2026-03-23,Joint UK AISI + US CAISI + Gray Swan,JOINT-2026-03
375,USCAISI-2026-03-CYB4,B,2026-03-23,US CAISI,JOINT-2026-03
376,SCALEAI-2026-03c-SOC1,B,2026-03-23,Scale AI,SCALEAI-2026-03c
377,SCALEAI-2026-03c-SOC2,B,2026-03-23,Scale AI,SCALEAI-2026-03c
378,SCALEAI-2026-03c-SOC3,B,2026-03-23,Scale AI,SCALEAI-2026-03c
379,GRAYSWAN-2026-03-JAI1,B,2026-03-18,Gray Swan AI,GRAYSWAN-2026-03-YOURAIAGEN
380,GRAYSWAN-2026-03-JAI2,B,2026-03-18,Gray Swan AI,GRAYSWAN-2026-03-YOURAIAGEN
381,GRAYSWAN-2026-03-JAI3,B,2026-03-18,Gray Swan AI,GRAYSWAN-2026-03-YOURAIAGEN
382,APOLLO-2026-03-ALI1,B,2026-03-16,Apollo Research,APOLLO-2026-03
383,APOLLO-2026-03-ALI3,B,2026-03-16,Apollo Research,APOLLO-2026-03
384,APOLLO-2026-03-ALI4,B,2026-03-16,Apollo Research,APOLLO-2026-03
385,APOLLO-2026-03-ALI5,B,2026-03-16,Apollo Research,APOLLO-2026-03
386,UKAISI-2026-03-CYB2,B,2026-03-16,UK AISI,UKAISI-2026-03
387,UKAISI-2026-03-CYB3,B,2026-03-16,UK AISI,UKAISI-2026-03
388,UKAISI-2026-03-CYB4,B,2026-03-16,UK AISI,UKAISI-2026-03
389,SCALEAI-2026-03b-CYB1,B,2026-03-12,Scale AI,SCALEAI-2026-03b
390,SCALEAI-2026-03b-CYB2,B,2026-03-12,Scale AI,SCALEAI-2026-03b
391,METR-2026-03-AUT3,B,2026-03-10,METR,METR-2026-03b
392,METR-2026-03-AUT4,B,2026-03-10,METR,METR-2026-03b
393,ANTHROPIC-2026-03-SONNET46-JAI1,B,2026-03-06,Gray Swan AI,ANTHROPIC-2026-03-SONNET46
394,OPENAI-2026-03-SELF-ALI1,B,2026-03-05,Apollo Research,OPENAI-2026-03-SELF-GPT54
395,OPENAI-2026-03-SELF-ALI3,B,2026-03-05,Apollo Research,OPENAI-2026-03-SELF-GPT54
396,UKAISI-2026-03-CYB7,B,2026-03-05,UK AISI,UKAISI-2026-03a
397,UKAISI-2026-03a-GOV2,B,2026-03-05,UK AISI,UKAISI-2026-03a
398,METR-2026-03-AUT1,B,2026-03-03,METR,METR-2026-03a
399,UKAISI-2026-03-CYB5,B,2026-03-01,UK AISI,UKAISI-2026-03b
400,UKAISI-2026-03-CYB10,B,2026-03-01,UK AISI,UKAISI-2026-03b
401,UKAISI-2026-03b-CYB1,B,2026-03-01,UK AISI,UKAISI-2026-03b
402,SCALEAI-2026-02-BIO1,B,2026-02-26,Scale AI,SCALEAI-2026-02
403,SCALEAI-2026-02-BIO2,B,2026-02-26,Scale AI,SCALEAI-2026-02
404,SCALEAI-2026-02-BIO3,B,2026-02-26,Scale AI,SCALEAI-2026-02
405,UKAISI-2026-02-CYB1,B,2026-02-26,UK AISI,UKAISI-2026-02b
406,UKAISI-2026-02-CYB2,B,2026-02-26,UK AISI,UKAISI-2026-02b
407,METR-2026-02-SOC3,B,2026-02-24,METR,METR-2026-02c
408,UKAISI-2026-02-ALI1,B,2026-02-21,UK AISI,UKAISI-2026-02c
409,FARAI-2026-02b-JAI1,B,2026-02-18,FAR.AI,FARAI-2026-02b
410,HAL-2026-02-GOV1,B,2026-02-18,Princeton Holistic Agent Leaderboard (HAL),HAL-2026-02
411,HAL-2026-02b-AUT2,B,2026-02-18,Princeton Holistic Agent Leaderboard (HAL),HAL-2026-02b
412,HAL-2026-02b-AUT3,B,2026-02-18,Princeton Holistic Agent Leaderboard (HAL),HAL-2026-02b
413,HAL-2026-02b-AUT4,B,2026-02-18,Princeton Holistic Agent Leaderboard (HAL),HAL-2026-02b
414,HAL-2026-02b-AUT5,B,2026-02-18,Princeton Holistic Agent Leaderboard (HAL),HAL-2026-02b
415,HAL-2026-02b-AUT6,B,2026-02-18,Princeton Holistic Agent Leaderboard (HAL),HAL-2026-02b
416,FARAI-2026-02-AUT1,B,2026-02-17,FAR.AI,FARAI-2026-02
417,FARAI-2026-02-JAI1,B,2026-02-17,FAR.AI,FARAI-2026-02
418,METR-2026-02-SOC1,B,2026-02-17,METR,METR-2026-02b
419,METR-2026-02-AUT2,B,2026-02-13,METR,METR-2026-02a
420,METR-2026-02-AUT3,B,2026-02-13,METR,METR-2026-02a
421,CIP-2026-02-SOC1,B,2026-02-11,Collective Intelligence Project (Weval),CIP-2026-02-REALITIES
422,CIP-2026-02-SOC3,B,2026-02-11,Collective Intelligence Project (Weval),CIP-2026-02-REALITIES
423,CIP-2026-02-SOC4,B,2026-02-11,Collective Intelligence Project (Weval),CIP-2026-02-REALITIES
424,TRANSLUCE-2026-02-AUT2,B,2026-02-11,Transluce,TRANSLUCE-2026-02
425,UKAISI-2026-02-ALI4,B,2026-02-05,UK AISI,ANTHROPIC-2026-02-SELF
426,USCAISI-2026-02-CYB1,B,2026-02-05,US CAISI,ANTHROPIC-2026-02-SELF
427,JOINT-2026-02-AUT1,B,2026-02-05,Joint UK AISI + US CAISI,JOINT-2026-02
428,JOINT-2026-02-CYB3,B,2026-02-05,Joint UK AISI + US CAISI,JOINT-2026-02
429,JOINT-2026-02-CYB5,B,2026-02-05,Joint UK AISI + US CAISI,JOINT-2026-02
430,JOINT-2026-02-JAI2,B,2026-02-05,Joint UK AISI + US CAISI,JOINT-2026-02
431,UKAISI-2026-02-SOC1,B,2026-02-02,UK AISI,UKAISI-2026-02-FUTUREWORK
432,METR-2026-01-AUT1,B,2026-01-29,METR,METR-2026-01-TH11
433,SGAISI-2026-01-AUT1,B,2026-01-19,"Singapore AISI + Korea AISI (bilateral, network members)",SGAISI-2026-01-AUT1
434,SCALEAI-2026-01b-ALI1,B,2026-01-15,Scale AI,SCALEAI-2026-01b
435,SCALEAI-2026-01b-AUT1,B,2026-01-15,Scale AI,SCALEAI-2026-01b
436,UKAISI-2026-01-ALI1,B,2026-01-15,UK AISI,UKAISI-2026-01-PRETRAIN
437,SHANGHAIAILAB-2026-01-JAI1,B,2026-01-04,Shanghai AI Laboratory (AI45 Lab),SHANGHAIAILAB-2026-01-OPENRT
438,REDWOOD-2026-01-ALI1,B,2026-01-01,Redwood Research,REDWOOD-2026-01
439,REDWOOD-2026-01-ALI2,B,2026-01-01,Redwood Research,REDWOOD-2026-01
440,REDWOOD-2026-01-ALI3,B,2026-01-01,Redwood Research,REDWOOD-2026-01
441,CIP-2025-12-SOC1,B,2025-12-26,Collective Intelligence Project (Weval),CIP-2025-12-ANNUAL
442,REDWOOD-2025-12b-ALI1,B,2025-12-26,Redwood Research,REDWOOD-2025-12b
443,REDWOOD-2025-12b-ALI2,B,2025-12-26,Redwood Research,REDWOOD-2025-12b
444,REDWOOD-2025-12a-ALI1,B,2025-12-22,Redwood Research,REDWOOD-2025-12a
445,REDWOOD-2025-12a-ALI2,B,2025-12-22,Redwood Research,REDWOOD-2025-12a
446,OPENAI-2025-12b-SELF-CYB2,B,2025-12-18,Irregular,OPENAI-2025-12b-SELF-CODEX
447,SCALEAI-2025-12-AUT1,B,2025-12-18,Scale AI,SCALEAI-2025-12
448,SCALEAI-2025-12-AUT2,B,2025-12-18,Scale AI,SCALEAI-2025-12
449,TRANSLUCE-2025-12-ALI2,B,2025-12-18,Transluce,TRANSLUCE-2025-12
450,UKAISI-2025-12-AUT1,B,2025-12-18,UK AISI,UKAISI-2025-12-18
451,UKAISI-2025-12-BIO1,B,2025-12-18,UK AISI,UKAISI-2025-12-18
452,UKAISI-2025-12-BIO2,B,2025-12-18,UK AISI,UKAISI-2025-12-18
453,UKAISI-2025-12-BIO3,B,2025-12-18,UK AISI,UKAISI-2025-12-18
454,UKAISI-2025-12-CYB1,B,2025-12-18,UK AISI,UKAISI-2025-12-18
455,UKAISI-2025-12-GOV5,B,2025-12-18,UK AISI,UKAISI-2025-12-18
456,UKAISI-2025-12-GOV7,B,2025-12-18,UK AISI,UKAISI-2025-12-18
457,UKAISI-2025-12-JAI2,B,2025-12-18,UK AISI,UKAISI-2025-12-18
458,USCAISI-2025-12-AUT1,B,2025-12-12,US CAISI,USCAISI-2025-12
459,USCAISI-2025-12-CYB1,B,2025-12-12,US CAISI,USCAISI-2025-12
460,USCAISI-2025-12-GOV1,B,2025-12-12,US CAISI,USCAISI-2025-12
461,DREADNODE-2025-12-JAI3,B,2025-12-11,Dreadnode,DREADNODE-2025-12b
462,GRAYSWAN-2025-12-CYB2,B,2025-12-11,Gray Swan AI,GRAYSWAN-2025-12-CONDTHEFIRS
463,OPENAI-2025-12-SELF-ALI1,B,2025-12-11,Apollo Research,OPENAI-2025-12-SELF-GPT52
464,UKAISI-2025-12-HUM1,B,2025-12-04,UK AISI,UKAISI-2025-12-04
465,UKAISI-2025-12-SOC2,B,2025-12-04,UK AISI,UKAISI-2025-12-04
466,UKAISI-2025-12-SOC3,B,2025-12-04,UK AISI,UKAISI-2025-12-04
467,GRAYSWAN-2025-12-CYB3,B,2025-12-01,Gray Swan AI,GRAYSWAN-2025-12
468,UKAISI-2025-12a-ALI1,B,2025-12-01,UK AISI,UKAISI-2025-12a
469,USCAISI-2025-11-ALI1,B,2025-11-28,US CAISI,USCAISI-2025-11
470,USCAISI-2025-11-GOV3,B,2025-11-28,US CAISI,USCAISI-2025-11
471,RAND-2025-11-BIO1,B,2025-11-25,RAND,RAND-2025-11
472,TRANSLUCE-2025-11c-ALI2,B,2025-11-25,Transluce,TRANSLUCE-2025-11c
473,SCALEAI-2025-11-ALI1,B,2025-11-20,Scale AI,SCALEAI-2025-11
474,METR-2025-11-AUT1,B,2025-11-19,METR,METR-2025-11-GPT51CODEXMAX
475,OPENAI-2025-11-SELF-CYB1,B,2025-11-18,Irregular,OPENAI-2025-11-SELF
476,HOLISTIC-2025-11-JAI1,B,2025-11-13,Holistic AI,HOLISTIC-2025-11
477,TRANSLUCE-2025-11a-ALI1,B,2025-11-11,Transluce,TRANSLUCE-2025-11a
478,SCALEAI-2025-11c-AUT1,B,2025-11-10,Scale AI,SCALEAI-2025-11c
479,SCALEAI-2025-11c-AUT2,B,2025-11-10,Scale AI,SCALEAI-2025-11c
480,SCALEAI-2025-11b-ALI2,B,2025-11-07,Scale AI,SCALEAI-2025-11b
481,CISCO-2025-11-JAI1,B,2025-11-05,Cisco (Robust Intelligence / Foundation AI),CISCO-2025-11
482,SCALEAI-2025-11a-BIO1,B,2025-11-05,Scale AI,SCALEAI-2025-11a
483,SCALEAI-2025-11a-BIO2,B,2025-11-05,Scale AI,SCALEAI-2025-11a
484,SCALEAI-2025-10-AUT1,B,2025-10-15,Scale AI,SCALEAI-2025-10
485,SCALEAI-2025-10-SOC1,B,2025-10-15,Scale AI,SCALEAI-2025-10
486,SCALEAI-2025-10-SOC2,B,2025-10-15,Scale AI,SCALEAI-2025-10
487,HAL-2025-10-AUT1,B,2025-10-13,Princeton Holistic Agent Leaderboard (HAL),HAL-2025-10
488,UKAISI-2025-10b-ALI1,B,2025-10-08,UK AISI,UKAISI-2025-10b
489,METR-2025-10-ALI1,B,2025-10-06,METR,METR-2025-10a
490,METR-2025-10-ALI2,B,2025-10-06,METR,METR-2025-10a
491,METR-2025-10-ALI3,B,2025-10-06,METR,METR-2025-10a
492,METR-2025-10-ALI4,B,2025-10-06,METR,METR-2025-10a
493,USCAISI-2025-09-CYB1,B,2025-09-30,US CAISI,USCAISI-2025-09
494,CIP-2025-09-WEVAL-GLM-45-SOC1,B,2025-09-29,Collective Intelligence Project (Weval),CIP-2025-09-WEVAL-GLM-45
495,CIP-2025-09-BIO3,B,2025-09-29,Collective Intelligence Project (Weval),CIP-2025-09-WEVAL-GPT-OSS-20B
496,CIP-2025-09-BIO4,B,2025-09-29,Collective Intelligence Project (Weval),CIP-2025-09-WEVAL-GPT-OSS-20B
497,CIP-2025-09-WEVAL-GPT-OSS-20B-SOC1,B,2025-09-29,Collective Intelligence Project (Weval),CIP-2025-09-WEVAL-GPT-OSS-20B
498,CIP-2025-09-BIO2,B,2025-09-29,Collective Intelligence Project (Weval),CIP-2025-09-WEVAL-GPT-OSS-120B
499,CIP-2025-09-HUM2,B,2025-09-29,Collective Intelligence Project (Weval),CIP-2025-09-WEVAL-GPT-OSS-120B
500,CIP-2025-09-WEVAL-GPT-OSS-120B-SOC1,B,2025-09-29,Collective Intelligence Project (Weval),CIP-2025-09-WEVAL-GPT-OSS-120B
501,LATTICEFLOW-2025-09b-CYB1,B,2025-09-23,LatticeFlow AI,LATTICEFLOW-2025-09b
502,LATTICEFLOW-2025-09b-CYB2,B,2025-09-23,LatticeFlow AI,LATTICEFLOW-2025-09b
503,LATTICEFLOW-2025-09b-CYB3,B,2025-09-23,LatticeFlow AI,LATTICEFLOW-2025-09b
504,SCALEAI-2025-09c-AUT1,B,2025-09-19,Scale AI,SCALEAI-2025-09c
505,SCALEAI-2025-09d-AUT2,B,2025-09-19,Scale AI,SCALEAI-2025-09d
506,SCALEAI-2025-09d-AUT3,B,2025-09-19,Scale AI,SCALEAI-2025-09d
507,SCALEAI-2025-09d-AUT4,B,2025-09-19,Scale AI,SCALEAI-2025-09d
508,APOLLO-2025-09-ALI3,B,2025-09-17,Apollo Research,APOLLO-2025-09
509,JOINT-2025-09-BIO2,B,2025-09-12,Joint UK AISI + US CAISI,JOINT-2025-09-CAISIUPDATE
510,SCALEAI-2025-09a-SOC1,B,2025-09-11,Scale AI,SCALEAI-2025-09a
511,SCALEAI-2025-09a-SOC2,B,2025-09-11,Scale AI,SCALEAI-2025-09a
512,UKAISI-2025-09-SOC1,B,2025-09-08,UK AISI,UKAISI-2025-09-POLKNOW
513,HOLISTIC-2025-09-JAI1,B,2025-09-05,Holistic AI,HOLISTIC-2025-09
514,HOLISTIC-2025-09-JAI2,B,2025-09-05,Holistic AI,HOLISTIC-2025-09
515,LATTICEFLOW-2025-09-JAI1,B,2025-09-02,LatticeFlow AI,LATTICEFLOW-2025-09
516,RAND-2025-09-SOC1,B,2025-09-02,RAND,RAND-2025-09-SUICIDE
517,RAND-2025-09-SOC2,B,2025-09-02,RAND,RAND-2025-09-SUICIDE
518,RAND-2025-09-SOC3,B,2025-09-02,RAND,RAND-2025-09-SUICIDE
519,CIP-2025-08-BIO10,B,2025-08-26,Collective Intelligence Project (Weval),CIP-2025-08-WEVAL-HAIKU
520,CIP-2025-08-HUM2,B,2025-08-26,Collective Intelligence Project (Weval),CIP-2025-08-WEVAL-HAIKU
521,CIP-2025-08-JAI10,B,2025-08-26,Collective Intelligence Project (Weval),CIP-2025-08-WEVAL-HAIKU
522,CIP-2025-08-WEVAL-HAIKU-SOC1,B,2025-08-26,Collective Intelligence Project (Weval),CIP-2025-08-WEVAL-HAIKU
523,SCALEAI-2025-08-ALI1,B,2025-08-26,Scale AI,SCALEAI-2025-08
524,CIP-2025-08-BIO12,B,2025-08-25,Collective Intelligence Project (Weval),CIP-2025-08-WEVAL-QWEN3-30B
525,CIP-2025-08-GOV1,B,2025-08-25,Collective Intelligence Project (Weval),CIP-2025-08-WEVAL-QWEN3-30B
526,CIP-2025-08-HUM5,B,2025-08-25,Collective Intelligence Project (Weval),CIP-2025-08-WEVAL-QWEN3-30B
527,CIP-2025-08-WEVAL-QWEN3-30B-SOC1,B,2025-08-25,Collective Intelligence Project (Weval),CIP-2025-08-WEVAL-QWEN3-30B
528,METR-2025-08-ALI4,B,2025-08-22,METR,METR-2025-08c
529,METR-2025-08-ALI5,B,2025-08-22,METR,METR-2025-08c
530,CIP-2025-08-JAI7,B,2025-08-20,Collective Intelligence Project (Weval),CIP-2025-08-GPT5
531,CIP-2025-08-JAI3,B,2025-08-17,Collective Intelligence Project (Weval),CIP-2025-08-OPUS41
532,CIP-2025-08-SOC3,B,2025-08-17,Collective Intelligence Project (Weval),CIP-2025-08-OPUS41
533,CIP-2025-08-ALI3,B,2025-08-17,Collective Intelligence Project (Weval),CIP-2025-08-WEVAL-GROK-4
534,CIP-2025-08-WEVAL-GROK-4-SOC1,B,2025-08-17,Collective Intelligence Project (Weval),CIP-2025-08-WEVAL-GROK-4
535,METR-2025-08-AUT2,B,2025-08-13,METR,METR-2025-08b
536,CIP-2025-08-JAI1,B,2025-08-12,Collective Intelligence Project (Weval),CIP-2025-08-WEVAL-CLAUDE-3-5-SONNET
537,CIP-2025-08-WEVAL-CLAUDE-3-5-SONNET-SOC1,B,2025-08-12,Collective Intelligence Project (Weval),CIP-2025-08-WEVAL-CLAUDE-3-5-SONNET
538,CIP-2025-08-BIO2,B,2025-08-12,Collective Intelligence Project (Weval),CIP-2025-08-WEVAL-CLAUDE-3-7-SONNET
539,CIP-2025-08-BIO3,B,2025-08-12,Collective Intelligence Project (Weval),CIP-2025-08-WEVAL-CLAUDE-3-7-SONNET
540,CIP-2025-08-WEVAL-CLAUDE-3-7-SONNET-SOC1,B,2025-08-12,Collective Intelligence Project (Weval),CIP-2025-08-WEVAL-CLAUDE-3-7-SONNET
